Festividad,2010,2011,2012,2013,2014,2015,2016,2017,,2019,2020
Año nuevo,1-Jan,1-Jan,1-Jan,1-Jan,1-Jan,1-Jan,1-Jan,1-Jan,,1/1/2019,1/1/2020
Día de reyes,6-Jan,6-Jan,6-Jan,6-Jan,6-Jan,6-Jan,6-Jan,6-Jan,,1/7/2019,1/6/2020
San Valentín,14-Feb,14-Feb,14-Feb,14-Feb,14-Feb,14-Feb,14-Feb,14-Feb,,2/14/2019,2/14/2020
Jueves santo,1-Apr,21-Apr,5-Apr,28-Mar,17-Apr,2-Apr,24-Mar,13-Apr,,4/18/2019,4/9/2020
Viernes santo,2-Apr,22-Apr,6-Apr,29-Mar,18-Apr,3-Apr,25-Mar,14-Apr,,4/19/2019,4/10/2020
Día de la mujer,8-Mar,8-Mar,8-Mar,8-Mar,8-Mar,8-Mar,8-Mar,8-Mar,,3/8/2019,3/8/2020
Día del niño,24-Apr,30-Apr,28-Apr,27-Apr,26-Apr,25-Apr,30-Apr,20-Apr,,4/27/2019,4/25/2020
Día del trabajo,1-May,1-May,1-May,1-May,1-May,1-May,1-May,1-May,,5/1/2019,5/1/2020
,,,,,,8-May,6-May,12-May,,,
,,,,,,9-May,7-May,13-May,,,
Día de la madre,9-May,8-May,13-May,12-May,11-May,10-May,8-May,14-May,,5/12/2019,5/10/2020
,,,,,,11-May,9-May,15-May,,,
Día del padre,20-Jun,19-Jun,17-Jun,16-Jun,22-Jun,21-Jun,19-Jun,18-Jun,,6/16/2019,6/21/2020
Día de la virgen del carmen,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,,7/16/2019,7/16/2020
Día de la Independencia,20-Jul,20-Jul,20-Jul,20-Jul,20-Jul,20-Jul,20-Jul,20-Jul,,7/20/2019,7/20/2020
Batalla de Boyacá,7-Aug,7-Aug,7-Aug,7-Aug,7-Aug,7-Aug,7-Aug,7-Aug,,8/7/2019,8/7/2020
Amor y amistad,18-Sep,17-Sep,15-Sep,21-Sep,20-Sep,19-Sep,17-Sep,16-Sep,,9/21/2019,9/19/2020
Jazz al Parque,11-Sep,10-Sep,8-Sep,14-Sep,13-Sep,12-Sep,10-Sep,16-Sep,,9/12/2019,
Jazz al Parque,12-Sep,11-Sep,9-Sep,15-Sep,14-Sep,13-Sep,11-Sep,17-Sep,,9/13/2019,
,,,,,,,,,,9/14/2019,
,,,,,,,,,,9/15/2019,
Rock al Parque,3-Jul,2-Jul,30-Jun,29-Jun,16-Aug,15-Aug,2-Jul,1-Jul,,6/29/2019,
Rock al Parque,4-Jul,3-Jul,1-Jul,30-Jun,17-Aug,16-Aug,3-Jul,2-Jul,,6/30/2019,
Rock al Parque,5-Jul,4-Jul,2-Jul,1-Jul,18-Aug,17-Aug,4-Jul,3-Jul,,7/1/2019,
Hip-hop al Parque,,7-Oct,15-Oct,,11-Oct,14-Nov,,,,10/5/2019,
Hip-hop al Parque,9-Oct,8-Oct,20-Oct,26-Oct,12-Oct,15-Nov,22-Oct,21-Oct,,10/6/2019,
Hip-hop al Parque,10-Oct,9-Oct,21-Oct,27-Oct,13-Oct,16-Nov,23-Oct,22-Oct,,,
Halloween,31-Oct,31-Oct,31-Oct,31-Oct,31-Oct,31-Oct,31-Oct,31-Oct,,10/31/2019,10/31/2020
Halloween,1-Nov,1-Nov,1-Nov,1-Nov,1-Nov,1-Nov,1-Nov,1-Nov,,,
Día de Velitas,7-Dec,7-Dec,7-Dec,7-Dec,7-Dec,7-Dec,7-Dec,7-Dec,,12/7/2019,12/7/2020
Día de Velitas,8-Dec,8-Dec,8-Dec,8-Dec,8-Dec,8-Dec,8-Dec,8-Dec,,12/8/2019,12/8/2020
Navidad,24-Dec,24-Dec,24-Dec,24-Dec,24-Dec,24-Dec,24-Dec,24-Dec,,12/24/2019,12/24/2020
Navidad,25-Dec,25-Dec,25-Dec,25-Dec,25-Dec,25-Dec,25-Dec,25-Dec,,12/25/2019,12/25/2020
Año nuevo,31-Dec,31-Dec,31-Dec,31-Dec,31-Dec,31-Dec,31-Dec,31-Dec,,12/31/2019,12/31/2020
