Fecha,Manifestaciones
11/21/2019,1
11/22/2019,1
11/23/2019,1
11/24/2019,1
11/25/2019,1
11/26/2019,1
11/27/2019,1
11/28/2019,1
11/29/2019,1
12/1/2019,1
12/2/2019,1
12/4/2019,1
12/6/2019,1
12/7/2019,1
12/8/2019,1
12/10/2019,1
12/13/2019,1
12/16/2019,1
12/19/2019,1
12/23/2019,1
1/13/2020,1
1/16/2020,1
1/21/2020,1
2/21/2020,1
3/25/2020,1
9/9/2020,1
9/10/2020,1
9/11/2020,1
9/12/2020,1
9/13/2020,1
9/14/2020,1
9/15/2020,1
9/16/2020,1
9/17/2020,1
9/18/2020,1
9/19/2020,1
9/21/2020,1
9/22/2020,1
9/24/2020,1
