Fecha,Partidos Millonarios,Fecha,Partidos Santa Fé
1/15/2017,1,01/21/17,1
1/18/2017,1,01/29/17,1
2/1/2017,1,02/11/19,1
2/5/2017,1,02/18/17,1
2/8/2017,1,02/23/17,1
2/12/2017,1,02/26/17,1
2/19/2017,1,03/01/17,1
2/22/2017,1,03/04/17,1
3/1/2017,1,03/09/17,1
3/5/2017,1,03/12/17,1
3/11/2017,1,03/16/17,1
3/19/2017,1,03/19/17,1
3/25/2017,1,03/25/17,1
3/29/2017,1,03/26/17,1
4/15/2017,1,04/02/17,1
4/22/2017,1,04/09/17,1
4/30/2017,1,04/15/17,1
5/6/2017,1,04/19/17,1
5/9/2017,1,04/23/17,1
5/14/2017,1,04/27/17,1
5/20/2017,1,04/30/17,1
5/27/2017,1,05/04/17,1
5/31/2017,1,05/07/17,1
6/4/2017,1,05/10/17,1
6/7/2017,1,05/13/17,1
6/11/2017,1,05/17/17,1
7/8/2017,1,05/23/17,1
7/13/2017,1,05/27/17,1
7/27/2017,1,06/27/17,1
8/9/2017,1,07/09/17,1
8/23/2017,1,07/12/17,1
1/31/2018,1,07/16/17,1
2/4/2018,1,07/19/17,1
2/7/2018,1,07/22/17,1
2/11/2018,1,07/25/17,1
2/14/2018,1,08/03/17,1
2/18/2018,1,08/10/17,1
2/24/2018,1,08/24/17,1
2/28/2018,1,08/30/17,1
3/4/2018,1,09/14/17,1
3/8/2018,1,01/14/18,1
3/15/2018,1,02/01/18,1
3/18/2018,1,02/04/18,1
3/22/2018,1,02/08/18,1
3/25/2018,1,02/10/18,1
3/29/2018,1,02/13/18,1
4/1/2018,1,02/17/18,1
4/7/2018,1,02/20/18,1
4/10/2018,1,02/25/18,1
4/14/2018,1,03/01/18,1
4/17/2018,1,03/04/18,1
4/21/2018,1,03/08/18,1
4/24/2018,1,03/14/18,1
4/28/2018,1,03/17/18,1
5/2/2018,1,03/21/18,1
5/6/2018,1,03/24/18,1
5/17/2018,1,03/27/18,1
5/24/2018,1,03/31/18,1
7/22/2018,1,04/05/18,1
7/26/2018,1,04/08/18,1
7/29/2018,1,04/11/18,1
8/4/2018,1,04/14/18,1
8/12/2018,1,04/18/18,1
8/15/2018,1,04/22/18,1
8/19/2018,1,04/25/18,1
8/22/2018,1,04/26/18,1
8/25/2018,1,04/29/18,1
8/29/2018,1,05/03/18,1
9/1/2018,1,05/06/18,1
9/4/2018,1,05/23/18,1
9/9/2018,1,07/19/18,1
9/12/2018,1,07/22/18,1
9/15/2018,1,07/28/18,1
9/18/2018,1,07/31/18,1
9/22/2018,1,08/05/18,1
9/26/2018,1,08/11/18,1
9/29/2018,1,08/16/18,1
10/2/2018,1,08/19/18,1
1/27/2019,1,08/25/18,1
1/31/2019,1,08/29/18,1
2/3/2019,1,09/02/18,1
2/9/2019,1,09/25/18,1
2/13/2019,1,09/28/18,1
2/16/2019,1,09/12/18,1
2/23/2019,1,09/15/18,1
2/28/2019,1,09/18/18,1
3/3/2019,1,09/22/18,1
3/9/2019,1,09/26/18,1
3/13/2019,1,09/29/18,1
3/20/2019,1,10/02/18,1
3/23/2019,1,10/23/18,1
